Division,Sector,Program_Model,Overnight_Service_Type,Program_Area
86,Women,Transitional,24-Hour Respite,Temporary Refugee Response
87,Family,Transitional,Shelter,Winter Response
88,Women,Transitional,Shelter,Temporary Refugee Response
89,Mixed Adult,Transitional,Shelter,Base Shelter and Overnight Services System
90,Family,Emergency,Motel/Hotel,COVID-19 Response
91,Women,Emergency,24-Hour Respite,Temporary Refugee Response
92,Mixed Adult,Emergency,Motel/Hotel,Temporary Refugee Response
93,Family,Emergency,Motel/Hotel,Base Program - Refugee
94,Women,Transitional,Isolation/Recovery Site,Base Shelter and Overnight Services System
95,Mixed Adult,Emergency,Interim Housing,Winter Response
96,Youth,Transitional,Interim Housing,COVID-19 Response
97,Men,Emergency,Motel/Hotel,Temporary Refugee Response
98,Mixed Adult,Transitional,24-Hour Women's Drop-in,Base Shelter and Overnight Services System
99,Youth,Emergency,Warming Centre,Base Program - Refugee
100,Youth,Emergency,Interim Housing,Temporary Refugee Response
101,Family,Emergency,Isolation/Recovery Site,Base Program - Refugee
102,Men,Emergency,Interim Housing,Temporary Refugee Response
103,Youth,Emergency,Interim Housing,Base Program - Refugee
104,Youth,Emergency,Shelter,Base Program - Refugee
105,Family,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System
106,Men,Emergency,Shelter,Winter Response
107,Youth,Emergency,Warming Centre,Base Shelter and Overnight Services System
108,Youth,Emergency,Warming Centre,Base Shelter and Overnight Services System
109,Mixed Adult,Transitional,Warming Centre,Base Shelter and Overnight Services System
110,Mixed Adult,Emergency,Warming Centre,Winter Response
111,Youth,Emergency,24-Hour Women's Drop-in,Winter Response
112,Youth,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
113,Family,Transitional,24-Hour Respite,Temporary Refugee Response
114,Family,Emergency,24-Hour Women's Drop-in,Base Shelter and Overnight Services System
115,Family,Emergency,24-Hour Women's Drop-in,Temporary Refugee Response
116,Men,Transitional,24-Hour Women's Drop-in,Base Program - Refugee
117,Mixed Adult,Transitional,Warming Centre,Base Shelter and Overnight Services System
118,Family,Transitional,Isolation/Recovery Site,Temporary Refugee Response
119,Family,Emergency,Interim Housing,Base Program - Refugee
120,Mixed Adult,Emergency,Shelter,Temporary Refugee Response
121,Men,Emergency,Interim Housing,Base Program - Refugee
122,Family,Transitional,Shelter,COVID-19 Response
123,Mixed Adult,Transitional,24-Hour Women's Drop-in,Winter Response
124,Family,Transitional,Warming Centre,Winter Response
125,Mixed Adult,Emergency,Motel/Hotel,Winter Response
126,Youth,Transitional,Warming Centre,COVID-19 Response
127,Men,Emergency,Warming Centre,Winter Response
128,Men,Transitional,Isolation/Recovery Site,Temporary Refugee Response
129,Mixed Adult,Emergency,24-Hour Respite,Base Shelter and Overnight Services System
130,Mixed Adult,Transitional,Warming Centre,COVID-19 Response
131,Youth,Transitional,Interim Housing,Base Shelter and Overnight Services System
132,Youth,Emergency,Isolation/Recovery Site,Base Shelter and Overnight Services System
133,Women,Emergency,Shelter,COVID-19 Response
134,Youth,Transitional,Motel/Hotel,Base Shelter and Overnight Services System
135,Mixed Adult,Emergency,Isolation/Recovery Site,Temporary Refugee Response
136,Mixed Adult,Transitional,24-Hour Respite,Base Program - Refugee
137,Mixed Adult,Transitional,Motel/Hotel,Base Program - Refugee
138,Men,Emergency,24-Hour Respite,COVID-19 Response
139,Men,Transitional,Isolation/Recovery Site,Base Shelter and Overnight Services System
140,Mixed Adult,Emergency,24-Hour Respite,Base Program - Refugee
141,Youth,Emergency,Warming Centre,Winter Response
142,Mixed Adult,Transitional,Interim Housing,COVID-19 Response
143,Family,Transitional,Shelter,Winter Response
144,Youth,Emergency,Interim Housing,Base Shelter and Overnight Services System
145,Men,Emergency,Shelter,COVID-19 Response
146,Family,Emergency,Isolation/Recovery Site,COVID-19 Response
147,Men,Emergency,24-Hour Respite,Temporary Refugee Response
148,Mixed Adult,Transitional,Shelter,Base Program - Refugee
149,Youth,Transitional,24-Hour Women's Drop-in,COVID-19 Response
150,Youth,Emergency,Shelter,Temporary Refugee Response
